診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05",,,[別表]疾患,,Jlvnlr4,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心不全,心不全,慢性,,,●,重複あり,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",,,[別表]疾患,,Jlvnlr8,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,虚血性心疾患,狭心症,労作性,,,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",,,[別表]疾患,,JlvnlsE,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,虚血性心疾患,狭心症,冠攣縮性,,,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",,,[別表]疾患,,JlvnlsI,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,虚血性心疾患,急性冠症候群,不安定狭心症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",,,[別表]疾患,,JlvnlsQ,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,虚血性心疾患,急性冠症候群,急性心筋梗塞,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,JlvnlsU,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,徐脈性不整脈,洞不全症候群,,,●○生坂,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnlsc,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,徐脈性不整脈,房室ブロック,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnlsg,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,上室性頻脈性不整脈,心房細動,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnlso,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,上室性頻脈性不整脈,心房粗動,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnlsw,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,上室性頻脈性不整脈,発作性上室頻拍症,,用語修正（岡崎）,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnls0,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,心室性頻脈性不整脈,心室頻拍,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnls8,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,心室性頻脈性不整脈,多源性心室頻拍（torsades de pointes),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,JlvnltA,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,なし,心室細動,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,JlvnltI,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,期外収縮,上室性,,サブカテゴリをなくし、期外収縮（上室性・心室性）とまとめてはどうか（小松）,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,JlvnltQ,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,期外収縮,心室性,,,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,JlvnltU,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,なし,WPW症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,[別表]疾患,,Jlvnltc,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,不整脈,なし,Brugada症候群,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-04-01,,,[別表]疾患,,Jlvnltg,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,弁膜症,僧帽弁疾患,狭窄,,サブカテゴリをなくし、僧帽弁疾患（狭窄・閉鎖不全）としてはどうか（小松）,●,重複あり,,●,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-04-01,,,[別表]疾患,,Jlvnlto,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,弁膜症,僧帽弁疾患,閉鎖不全,,,●,重複あり,,●,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-04-01,,,[別表]疾患,,Jlvnlts,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,弁膜症,大動脈弁疾患,狭窄,,サブカテゴリをなくし、大動脈弁疾患（狭窄・閉鎖不全）としてはどうか（小松）,●,重複あり,,●,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-04-01,,,[別表]疾患,,Jlvnlt0,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,弁膜症,大動脈弁疾患,閉鎖不全,,,●,重複あり,,●,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-04-01,,,[別表]疾患,,Jlvnlt4,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,弁膜症,なし,三尖弁閉鎖不全,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,JlvnluA,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,特発性心筋症,肥大型,,サブカテゴリをなくし、特発性心筋症（肥大型・拡張型・拘束型）としてはどうか（小松）,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,JlvnluE,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,特発性心筋症,拡張型,,,●,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,JlvnluM,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,特発性心筋症,拘束型,,,●○生坂,,,,,,,,統合すべきか?,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,JlvnluU,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,二次性心筋疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,JlvnluY,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,急性心筋炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,Jlvnlug,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,感染性心内膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,Jlvnluk,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,急性心膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,Jlvnlus,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,収縮性心膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,[別表]疾患,,Jlvnluw,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,心筋・心膜疾患,なし,心タンポナーデ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,Jlvnlu4,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性心疾患,なし,心房中隔欠損症,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,Jlvnlu8,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性心疾患,なし,心室中隔欠損症,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnlvE,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性心疾患,なし,動脈管開存,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnlvM,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,先天性心疾患,なし,Fallot 四徴症,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,JlvnlvQ,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,動脈硬化症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,JlvnlvY,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,急性大動脈解離,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,Jlvnlvc,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,大動脈瘤（胸部・腹部）,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,Jlvnlvk,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,閉塞性動脈硬化症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,Jlvnlvo,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,Buerger病,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,[別表]疾患,,Jlvnlvw,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,動脈疾患,なし,高安動脈炎(大動脈炎症候群),,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,[別表]疾患,,Jlvnlv0,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,静脈・リンパ管疾患,なし,深部静脈血栓症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,[別表]疾患,,Jlvnlv8,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,静脈・リンパ管疾患,なし,血栓性静脈炎,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,[別表]疾患,,JlvnlwE,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,静脈・リンパ管疾患,なし,上大静脈症候群,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,[別表]疾患,,JlvnlwI,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,静脈・リンパ管疾患,なし,下肢静脈瘤,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,[別表]疾患,,JlvnlwQ,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,静脈・リンパ管疾患,なし,リンパ浮腫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-09-01,D-05-04-09-02,D-05-04-09-04",,,[別表]疾患,,JlvnlwU,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,高血圧症,高血圧症,本態性,,サブカテゴリをなくし、高血圧症（本態性・二次性）としてはどうか（小松）,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-09-01,D-05-04-09-02,D-05-04-09-04",,,[別表]疾患,,Jlvnlwc,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,高血圧症,高血圧症,二次性,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-05-04-09-01,D-05-04-09-02,D-05-04-09-04",,,[別表]疾患,,Jlvnlwg,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,高血圧症,なし,高血圧緊急症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-10-02,,,[別表]疾患,,Jlvnlwo,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,低血圧症,なし,起立性低血圧,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-10-02,,,[別表]疾患,,Jlvnlws,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,低血圧症,なし,神経失調性失神,,神経調節性失神（反射性失神）へ修正を（岡崎／小松）,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-11-01,,,[別表]疾患,,Jlvnlw0,,,,,,,,,,,,,,,,,循環器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-01-01, D-06-04-01-02",,,[別表]疾患,,Jlvnlw8,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸不全,なし,低酸素血症と高二酸化炭素血症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,JlvnlxA,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,急性上気道感染症（かぜ症候群）,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,JlvnlxI,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,扁桃炎・急性喉頭蓋炎,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,JlvnlxM,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,気管支炎,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,JlvnlxU,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,細気管支炎,,,●,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlxc,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,肺炎（定型・非定型）,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlxg,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,肺結核症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlxo,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,非結核性（非定型）抗酸菌症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlxs,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,肺真菌症,,,●○生坂,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlx0,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,嚥下性肺疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,Jlvnlx4,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,肺化膿症・膿胸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,,[別表]疾患,,JlvnlyA,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器感染症,なし,クループ症候群,,,,重複あり,●生坂,●,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,JlvnlyE,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,なし,慢性閉塞性肺疾患 （COPD）,,COPDのフルスペルを削除（小松）＜＞→（）に修正（金子早）,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,JlvnlyM,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,なし,気腫性嚢胞（ブレブ・ブラ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,JlvnlyQ,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,なし,気管支喘息（咳喘息を含む）,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,JlvnlyY,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,間質性肺炎,特発性,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,Jlvnlyc,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,間質性肺炎,膠原病血管炎関連性,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,Jlvnlyk,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,なし,びまん性汎細気管支炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,Jlvnlys,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,なし,放射線肺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,Jlvnlyw,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,じん肺症,珪肺,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07",,,[別表]疾患,,Jlvnly4,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,閉塞性換気障害・拘束性換気障害,じん肺症,石綿肺,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,",,,[別表]疾患,,Jlvnly8,,,,,,,,,,,,,,,,,呼吸器系,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,肺循環障害,なし,肺性心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
